Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node2 read 32k 8 169781 5305 1505.159519 10187232 60002
bench-node2 read 32k 16 231463 7233 2090.400436 10485760 45302
bench-node2 read 32k 32 264985 8280 3667.712857 10485760 39571
bench-node2 read 32k 64 270865 8464 7370.171420 10485760 38712
bench-node2 read 32k 128 273273 8539 14724.062860 10485760 38371
bench-node2 read 16k 1 11335 708 1408.046294 680176 60002
bench-node2 read 16k 2 23009 1438 1387.724886 1380608 60001
bench-node2 read 16k 4 45995 2874 1388.474236 2759776 60001
bench-node2 read 16k 8 93292 5830 1369.551601 5597760 60002
bench-node2 read 16k 16 129562 8097 1973.306047 7774128 60003
bench-node2 read 16k 32 148564 9285 3443.110707 8914464 60004
bench-node2 read 16k 64 151562 9472 6751.610269 9095088 60009
bench-node2 read 16k 128 151774 9485 13483.987886 9110416 60026
bench-node2 read 4k 1 2674 668 1492.057174 160492 60003
bench-node2 read 4k 2 5692 1423 1402.288724 341572 60002
bench-node2 read 4k 4 11607 2901 1375.495156 696468 60002
bench-node2 read 4k 8 23794 5948 1342.400682 1427736 60003
bench-node2 read 4k 16 32360 8090 1975.230260 1941700 60003
bench-node2 read 4k 32 37323 9330 3426.378547 2239656 60007
bench-node2 read 4k 64 38762 9690 6600.054391 2326124 60010
bench-node2 read 4k 128 39648 9912 12906.252952 2379616 60018
bench-node2 read 2k 1 1279 639 1559.191042 76800 60001
bench-node2 read 2k 2 2739 1369 1457.126795 164376 60002
bench-node2 read 2k 4 5372 2686 1486.215379 322352 60004
bench-node2 read 2k 8 11115 5557 1436.991589 666956 60002
bench-node2 read 2k 16 14594 7297 2190.028505 875716 60003
bench-node2 read 2k 32 17283 8641 3699.545684 1037234 60012
bench-node2 read 2k 64 18630 9315 6866.355796 1117972 60009
bench-node2 read 2k 128 18077 9038 14153.140706 1085042 60022
bench-node2 read 1k 1 622 622 1604.261461 37321 60001
bench-node2 read 1k 2 1253 1253 1592.768010 75193 60001
bench-node2 read 1k 4 2540 2540 1571.771942 152422 60001
bench-node2 read 1k 8 5149 5149 1551.182969 308954 60002
bench-node2 read 1k 16 6828 6828 2340.416333 409759 60006
bench-node2 read 1k 32 8485 8485 3768.014297 509191 60005
bench-node2 read 1k 64 8800 8800 7268.162260 528116 60013
bench-node2 read 1k 128 8693 8693 14716.579042 521732 60017
Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node3 read 8192k 1 245171 29 33396.444531 10485760 42769
bench-node3 read 8192k 2 335233 40 48587.191406 10485760 31279
bench-node3 read 8192k 4 534034 65 60662.018750 10485760 19635
bench-node3 read 8192k 8 947993 115 66603.201563 10485760 11061
bench-node3 read 8192k 16 993345 121 123867.515625 10485760 10556
bench-node3 read 8192k 32 879235 107 277007.744531 10485760 11926
bench-node3 read 8192k 64 1008246 123 484130.737500 10485760 10400
bench-node3 read 8192k 128 1105742 134 863622.670312 10485760 9483
bench-node3 read 4096k 1 172575 42 23722.401899 10354688 60001
bench-node3 read 4096k 2 300882 73 27156.395703 10485760 34850
bench-node3 read 4096k 4 838726 204 19441.248828 10485760 12502
bench-node3 read 4096k 8 1066710 260 29929.130859 10485760 9830
bench-node3 read 4096k 16 1122311 274 57003.332031 10485760 9343
bench-node3 read 4096k 32 1119914 273 108998.629297 10485760 9363
bench-node3 read 4096k 64 1075793 262 220919.851953 10485760 9747
bench-node3 read 4096k 128 1030541 251 462627.738672 10485760 10175
bench-node3 read 2048k 1 144245 70 14188.905111 8654848 60001
bench-node3 read 2048k 2 265549 129 15301.389648 10485760 39487
bench-node3 read 2048k 4 663949 324 11995.417188 10485760 15793
bench-node3 read 2048k 8 1064760 519 15027.948438 10485760 9848
bench-node3 read 2048k 16 1107962 540 29225.137891 10485760 9464
bench-node3 read 2048k 32 1116456 545 57397.123633 10485760 9392
bench-node3 read 2048k 64 1100867 537 112051.334375 10485760 9525
bench-node3 read 2048k 128 1124719 549 216749.354492 10485760 9323
bench-node3 read 1024k 1 108707 106 9410.946468 6522880 60004
bench-node3 read 1024k 2 224982 219 9089.506543 10485760 46607
bench-node3 read 1024k 4 406157 396 9857.447852 10485760 25817
bench-node3 read 1024k 8 832665 813 9439.419043 10485760 12593
bench-node3 read 1024k 16 1023300 999 15251.544824 10485760 10247
bench-node3 read 1024k 32 1088298 1062 29375.563281 10485760 9635
bench-node3 read 1024k 64 1070412 1045 58859.462695 10485760 9796
bench-node3 read 1024k 128 1067361 1042 115361.682617 10485760 9824
bench-node3 read 512k 1 68767 134 7436.567688 4126208 60002
bench-node3 read 512k 2 152397 297 6710.757055 9144320 60003
bench-node3 read 512k 4 288323 563 6892.042285 10485760 36368
bench-node3 read 512k 8 602941 1177 6454.740234 10485760 17391
bench-node3 read 512k 16 1107027 2162 7168.687354 10485760 9472
bench-node3 read 512k 32 1128957 2204 14296.284766 10485760 9288
bench-node3 read 512k 64 1193190 2330 27120.772119 10485760 8788
bench-node3 read 512k 128 1199606 2342 53572.129590 10485760 8741
bench-node3 read 256k 1 62508 244 4086.819944 3750656 60002
bench-node3 read 256k 2 116713 455 4371.729946 7024384 60185
bench-node3 read 256k 4 214161 836 4698.030908 10485760 48962
bench-node3 read 256k 8 418326 1634 4778.812427 10485760 25066
bench-node3 read 256k 16 782869 3058 5125.740747 10485760 13394
bench-node3 read 256k 32 859840 3358 9236.316040 10485760 12195
bench-node3 read 256k 64 873013 3410 18300.857690 10485760 12011
bench-node3 read 256k 128 953771 3725 34080.542798 10485760 10994
bench-node3 read 128k 1 39561 309 3227.022270 2373760 60002
bench-node3 read 128k 2 80239 626 3182.181985 4814464 60001
bench-node3 read 128k 4 137091 1071 3727.441982 8225920 60003
bench-node3 read 128k 8 245717 1919 3984.243250 10485760 42674
bench-node3 read 128k 16 474425 3706 3721.675232 10485760 22102
bench-node3 read 128k 32 742617 5801 4866.352405 10485760 14120
bench-node3 read 128k 64 825845 6451 9249.655151 10485760 12697
bench-node3 read 128k 128 838458 6550 18443.089185 10485760 12506
bench-node3 read 64k 1 18193 284 3509.278713 1091648 60001
bench-node3 read 64k 2 45902 717 2780.626142 2754240 60002
bench-node3 read 64k 4 94334 1473 2707.069525 5660352 60003
bench-node3 read 64k 8 165792 2590 3078.010950 9948032 60003
bench-node3 read 64k 16 342750 5355 2717.817950 10485760 30593
bench-node3 read 64k 32 523372 8177 3625.122968 10485760 20035
bench-node3 read 64k 64 551533 8617 7190.495721 10485760 19012
bench-node3 read 64k 128 556598 8696 14384.323267 10485760 18839
bench-node3 read 32k 1 11088 346 2877.720841 665312 60002
bench-node3 read 32k 2 21467 670 2973.581884 1288064 60002
bench-node3 read 32k 4 44550 1392 2864.855318 2675104 60047
bench-node3 read 32k 8 74859 2339 3407.000128 4503776 60163
bench-node3 read 32k 16 130880 4090 3898.252362 7878464 60196
bench-node3 read 32k 32 259574 8111 3548.980966 10485760 40396
bench-node3 read 32k 64 323325 10103 6079.239468 10485760 32431
bench-node3 read 32k 128 324556 10142 12373.945972 10485760 32308
bench-node3 read 16k 1 5818 363 2741.940470 349136 60001
bench-node3 read 16k 2 11053 690 2887.422340 663200 60001
bench-node3 read 16k 4 27299 1706 2337.776920 1638160 60008
bench-node3 read 16k 8 47239 2952 2698.527837 2842848 60179
bench-node3 read 16k 16 113942 7121 2243.684591 6836880 60003
bench-node3 read 16k 32 174161 10885 2851.690557 10450064 60002
bench-node3 read 16k 64 175232 10952 5594.652744 10485760 59839
bench-node3 read 16k 128 177824 11114 11355.399872 10485760 58967
bench-node3 read 4k 1 1504 376 2650.294524 90288 60002
bench-node3 read 4k 2 3251 812 2451.213081 195456 60120
bench-node3 read 4k 4 7115 1778 2242.089918 426968 60003
bench-node3 read 4k 8 14065 3516 2265.679561 846040 60151
bench-node3 read 4k 16 30067 7516 2120.421987 1810076 60201
bench-node3 read 4k 32 40472 10118 3153.606769 2436036 60190
bench-node3 read 4k 64 46526 11631 5478.433819 2804904 60286
bench-node3 read 4k 128 46431 11607 10947.850854 2806624 60447
bench-node3 read 2k 1 274 137 7269.361630 16492 60011
bench-node3 read 2k 2 863 431 4627.253002 51794 60003
bench-node3 read 2k 4 3783 1891 2108.394057 227018 60003
bench-node3 read 2k 8 4933 2466 3231.197536 296776 60151
bench-node3 read 2k 16 14295 7147 2231.117981 859576 60129
bench-node3 read 2k 32 20946 10473 3052.832077 1256864 60004
bench-node3 read 2k 64 22165 11082 5757.820487 1333218 60149
bench-node3 read 2k 128 21877 10938 11694.392524 1313060 60018
bench-node3 read 1k 1 394 394 2529.445934 23647 60003
bench-node3 read 1k 2 1161 1161 1716.373966 69664 60001
bench-node3 read 1k 4 1615 1615 2469.303950 96947 60003
bench-node3 read 1k 8 4097 4097 1948.837934 245857 60004
bench-node3 read 1k 16 6443 6443 2478.400678 386907 60047
bench-node3 read 1k 32 9823 9823 3247.970620 590749 60139
bench-node3 read 1k 64 10290 10290 6196.240677 619462 60199
bench-node3 read 1k 128 10285 10285 12405.630999 618923 60173
Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node4 read 8192k 1 144581 17 56643.549575 8675328 60003
bench-node4 read 8192k 2 531005 64 30315.271094 10485760 19747
