Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node2 write 128k 64 63178 493 129639.988872 3795712 60079
bench-node2 write 128k 128 59980 468 273067.224912 3611008 60203
bench-node2 write 64k 1 60518 945 1054.824355 3633152 60034
bench-node2 write 64k 2 54426 850 2348.601968 3265664 60001
bench-node2 write 64k 4 54326 848 4708.612873 3260288 60013
bench-node2 write 64k 8 54156 846 9449.814153 3249472 60002
bench-node2 write 64k 16 56808 887 18019.956503 3409152 60011
bench-node2 write 64k 32 60346 942 33929.071557 3621376 60010
bench-node2 write 64k 64 60055 938 68186.739614 3606464 60052
bench-node2 write 64k 128 58794 918 139287.989671 3531712 60069
bench-node2 write 32k 1 58388 1824 545.600191 3510240 60119
bench-node2 write 32k 2 57122 1785 1117.645621 3428288 60016
bench-node2 write 32k 4 56175 1755 2275.461008 3370560 60001
bench-node2 write 32k 8 55743 1741 4589.073358 3346208 60029
bench-node2 write 32k 16 59842 1870 8551.869744 3592192 60027
bench-node2 write 32k 32 62320 1947 16425.898126 3739840 60010
bench-node2 write 32k 64 69817 2181 29320.457994 4190304 60018
bench-node2 write 32k 128 61599 1924 66471.358046 3698560 60042
bench-node2 write 16k 1 56724 3545 279.777036 3403520 60001
bench-node2 write 16k 2 52601 3287 606.008283 3156160 60001
bench-node2 write 16k 4 56708 3544 1125.902465 3403584 60019
bench-node2 write 16k 8 57827 3614 2210.573050 3473984 60075
bench-node2 write 16k 16 58855 3678 4346.452500 3532128 60014
bench-node2 write 16k 32 59412 3713 8613.676591 3567888 60053
bench-node2 write 16k 64 62570 3910 16360.054309 3754528 60005
bench-node2 write 16k 128 59581 3723 34359.581018 3576288 60023
bench-node2 write 4k 1 37004 9251 105.972315 2220280 60001
bench-node2 write 4k 2 56813 14203 138.668421 3408888 60001
bench-node2 write 4k 4 54537 13634 291.125731 3272276 60001
bench-node2 write 4k 8 54329 13582 586.671028 3264652 60090
bench-node2 write 4k 16 60742 15185 1051.213701 3647360 60046
bench-node2 write 4k 32 60074 15018 2128.077477 3605924 60024
bench-node2 write 4k 64 60573 15143 4223.131041 3637304 60048
bench-node2 write 4k 128 63904 15976 8007.274637 3835088 60013
bench-node2 write 2k 1 21197 10598 92.242571 1271884 60001
bench-node2 write 2k 2 34370 17185 114.287077 2064280 60059
bench-node2 write 2k 4 52609 26304 149.946886 3157796 60023
bench-node2 write 2k 8 49190 24595 323.165015 2951500 60001
