Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node2 randread 32k 32 258894 8090 3747.686212 10485760 40502
bench-node2 randread 32k 64 274632 8582 7248.563416 10485760 38181
bench-node2 randread 32k 128 272782 8524 14769.983508 10485760 38440
bench-node2 randread 16k 1 4297 268 3716.707868 257856 60002
bench-node2 randread 16k 2 9556 597 3343.005692 573408 60003
bench-node2 randread 16k 4 21940 1371 2912.330230 1316512 60004
bench-node2 randread 16k 8 48155 3009 2653.743303 2889504 60003
bench-node2 randread 16k 16 83971 5248 3044.475568 5038960 60008
bench-node2 randread 16k 32 138804 8675 3683.937787 8329264 60007
bench-node2 randread 16k 64 152399 9524 6712.230673 9145344 60009
bench-node2 randread 16k 128 150603 9412 13587.462041 9039536 60022
bench-node2 randread 4k 1 1153 288 3459.742822 69244 60004
bench-node2 randread 4k 2 2405 601 3319.101712 144368 60004
bench-node2 randread 4k 4 5455 1363 2928.296572 327340 60002
bench-node2 randread 4k 8 10884 2721 2935.623398 653104 60003
bench-node2 randread 4k 16 17735 4433 3604.458384 1064200 60004
bench-node2 randread 4k 32 35792 8948 3571.769467 2147740 60006
bench-node2 randread 4k 64 40312 10078 6344.291412 2419048 60008
bench-node2 randread 4k 128 39596 9899 12920.319706 2376444 60016
bench-node2 randread 2k 1 573 286 3478.862520 34434 60002
bench-node2 randread 2k 2 1181 590 3378.352989 70920 60003
bench-node2 randread 2k 4 2479 1239 3221.681561 148782 60004
bench-node2 randread 2k 8 4698 2349 3400.709837 281938 60005
bench-node2 randread 2k 16 6602 3301 4841.994139 396192 60010
bench-node2 randread 2k 32 14227 7113 4493.517394 853810 60012
bench-node2 randread 2k 64 18670 9335 6849.422326 1120366 60007
bench-node2 randread 2k 128 18428 9214 13880.898023 1106056 60019
bench-node2 randread 1k 1 284 284 3504.659254 17089 60002
bench-node2 randread 1k 2 592 592 3367.981697 35568 60004
bench-node2 randread 1k 4 1300 1300 3070.006623 78059 60003
bench-node2 randread 1k 8 2626 2626 3040.945721 157629 60005
bench-node2 randread 1k 16 4005 4005 3990.174478 240346 60005
bench-node2 randread 1k 32 8183 8183 3906.056198 491049 60006
bench-node2 randread 1k 64 9454 9454 6763.075183 567339 60009
bench-node2 randread 1k 128 9304 9304 13745.062562 558504 60023
Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node3 randread 8192k 1 265006 32 30887.414844 10485760 39568
bench-node3 randread 8192k 2 340933 41 47328.789063 10485760 30756
bench-node3 randread 8192k 4 988197 120 32426.864062 10485760 10611
