Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node2 randwrite 32k 8 13580 424 18844.062943 816992 60161
bench-node2 randwrite 32k 16 13916 434 36782.696299 835136 60011
bench-node2 randwrite 32k 32 12678 396 80751.929387 762240 60119
bench-node2 randwrite 32k 64 12940 404 158233.730586 780480 60313
bench-node2 randwrite 32k 128 10913 341 375199.394743 656224 60128
bench-node2 randwrite 16k 1 7874 492 2026.783934 472448 60001
bench-node2 randwrite 16k 2 7633 477 4187.166032 458032 60002
bench-node2 randwrite 16k 4 7863 491 8133.720836 472496 60086
bench-node2 randwrite 16k 8 7027 439 18210.002991 422624 60141
bench-node2 randwrite 16k 16 6976 436 36690.411331 419088 60074
bench-node2 randwrite 16k 32 6592 412 77659.891965 398832 60502
bench-node2 randwrite 16k 64 6459 403 158495.491036 388240 60101
bench-node2 randwrite 16k 128 6344 396 322708.739243 381536 60134
bench-node2 randwrite 4k 1 2155 538 1852.261130 129376 60010
bench-node2 randwrite 4k 2 1998 499 3996.234001 119948 60005
bench-node2 randwrite 4k 4 2036 509 7847.769920 122236 60008
bench-node2 randwrite 4k 8 1946 486 16437.527866 116772 60006
bench-node2 randwrite 4k 16 1853 463 34521.724628 111224 60017
bench-node2 randwrite 4k 32 1517 379 84294.751273 91136 60044
bench-node2 randwrite 4k 64 1982 495 128910.734862 119304 60166
bench-node2 randwrite 4k 128 1863 465 274163.192275 112256 60252
bench-node2 randwrite 2k 1 1007 503 1979.239185 60472 60001
bench-node2 randwrite 2k 2 929 464 4297.655620 55764 60005
bench-node2 randwrite 2k 4 1021 510 7828.492362 61276 60015
bench-node2 randwrite 2k 8 1085 542 14729.232871 65152 60006
bench-node2 randwrite 2k 16 1088 544 29388.008940 65322 60006
bench-node2 randwrite 2k 32 892 446 71703.445510 53606 60090
bench-node2 randwrite 2k 64 966 483 132350.540528 58084 60087
bench-node2 randwrite 2k 128 616 308 414985.277468 51624 83702
bench-node2 randwrite 1k 1 679 679 1467.606033 40775 60004
bench-node2 randwrite 1k 2 452 452 4408.450074 27180 60003
bench-node2 randwrite 1k 4 435 435 9179.478337 26128 60007
bench-node2 randwrite 1k 8 454 454 17613.056010 27245 60001
bench-node2 randwrite 1k 16 499 499 32020.451160 29996 60050
bench-node2 randwrite 1k 32 421 421 75752.629653 25360 60099
bench-node2 randwrite 1k 64 376 376 169686.218578 22651 60118
bench-node2 randwrite 1k 128 603 603 212041.420489 36234 60042
Hostname Pattern Block_size Threads Bandwidth_KB/s IOPS Latency_mean Total_I/O_KB Rununtime_ms 
bench-node3 randwrite 8192k 1 51171 6 160060.282667 3072000 60034
bench-node3 randwrite 8192k 2 60680 7 269976.883146 3645440 60076
bench-node3 randwrite 8192k 4 63350 7 517155.478541 3817472 60260
bench-node3 randwrite 8192k 8 74871 9 875028.611615 4513792 60287
bench-node3 randwrite 8192k 16 76132 9 1709489.679012 4644864 61010
bench-node3 randwrite 8192k 32 68498 8 3743538.522727 4325376 63146
bench-node3 randwrite 8192k 64 73818 9 6647651.329431 4898816 66363
bench-node3 randwrite 8192k 128 82381 10 12329285.239458 5439488 66028
bench-node3 randwrite 4096k 1 51456 12 79579.961589 3092480 60099
bench-node3 randwrite 4096k 2 50208 12 163137.819293 3014656 60043
bench-node3 randwrite 4096k 4 55690 13 294154.404878 3358720 60310
bench-node3 randwrite 4096k 8 62948 15 520450.122427 3780608 60059
bench-node3 randwrite 4096k 16 78767 19 831691.792130 4788224 60789
bench-node3 randwrite 4096k 32 74464 18 1752909.692169 4550656 61112
bench-node3 randwrite 4096k 64 78609 19 3288424.632636 4894720 62266
bench-node3 randwrite 4096k 128 78515 19 6548104.902619 5005312 63749
